Age Group,Category,Code,Sex,Year,Population (#),Population (#) - Female,Population (#) - Male
40 to 44,Population,FRA,Female,1/1/2012,2M,2246906.3552125,
15 to 19,Population,AND,Male,1/1/2015,0M,,2173.048908184
50 to 54,Population,TUN,Male,1/1/2014,0M,,327530.549350051
60 to 64,Population,BDI,Female,1/1/2009,0M,52715.787791134,
35 to 39,Population,SYR,Male,1/1/2008,1M,,626974.316838516
15 to 19,Population,ZWE,Male,1/1/2017,1M,,791600.402576535
55 to 59,Population,MOZ,Female,1/1/2016,0M,279579.629752743,
35 to 39,Population,MMR,Female,1/1/2013,2M,1908836.53243227,
60 to 64,Population,POL,Female,1/1/2015,1M,1442748.08110014,
70 to 74,Population,CYP,Female,1/1/2012,0M,18737.602918985,
15 to 19,Population,NAM,Male,1/1/2012,0M,,119794.058208399
15 to 19,Population,PAK,Female,1/1/2012,10M,10338224.2155756,
70 to 74,Population,NPL,Female,1/1/2015,0M,225181.838032113,
80 plus,Population,AZE,Female,1/1/2014,0M,64785.433949281,
20 to 24,Population,GRL,Female,1/1/2010,0M,2163.481801107,
50 to 54,Population,MRT,Male,1/1/2011,0M,,50095.906760620
80 plus,Population,ROU,Male,1/1/2012,0M,,266195.88563485
Under 5,Population,EST,Female,1/1/2011,0M,37585.767159688,
5 to 9,Population,ARG,Male,1/1/2012,2M,,1733909.36700861
75 to 79,Population,SYR,Female,1/1/2013,0M,65766.918506027,
35 to 39,Population,GAB,Female,1/1/2009,0M,44432.370118751,
80 plus,Population,IRQ,Male,1/1/2011,0M,,92409.396213034
20 to 24,Population,BHR,Male,1/1/2015,0M,,45711.878926573
Under 5,Population,BIH,Male,1/1/2013,0M,,91150.802487645
35 to 39,Population,CRI,Female,1/1/2010,0M,152862.424882342,
25 to 29,Population,ZMB,Female,1/1/2010,1M,562054.873192362,
55 to 59,Population,CHE,Male,1/1/2017,0M,,301676.23488135
35 to 39,Population,BWA,Male,1/1/2015,0M,,84677.891089524
20 to 24,Population,KIR,Female,1/1/2010,0M,5149.729727955,
65 to 69,Population,CAN,Male,1/1/2011,1M,,742653.33152591
60 to 64,Population,YEM,Female,1/1/2014,0M,216714.50350601,
45 to 49,Population,ROU,Male,1/1/2012,1M,,582483.632703447
20 to 24,Population,BHS,Male,1/1/2012,0M,,14563.522641738
Under 5,Population,SOM,Male,1/1/2012,1M,,1346150.6075776
40 to 44,Population,CHN,Female,1/1/2012,62M,61767157.0613891,
20 to 24,Population,MOZ,Female,1/1/2015,1M,1383061.36599705,
65 to 69,Population,MRT,Female,1/1/2008,0M,20569.310135280,
80 plus,Population,ERI,Female,1/1/2014,0M,7673.736538924,
50 to 54,Population,PAK,Male,1/1/2017,4M,,3827276.61969289
35 to 39,Population,MLI,Male,1/1/2010,0M,,354673.513345499
45 to 49,Population,BRB,Female,1/1/2014,0M,11325.895991252,
55 to 59,Population,DNK,Female,1/1/2016,0M,179669.698981686,
55 to 59,Population,ETH,Male,1/1/2016,1M,,879016.655638697
80 plus,Population,MNG,Female,1/1/2009,0M,8544.989449503,
50 to 54,Population,NAM,Female,1/1/2017,0M,42735.423817768,
65 to 69,Population,UGA,Male,1/1/2016,0M,,148733.469826593
60 to 64,Population,MDG,Female,1/1/2012,0M,161496.976549189,
60 to 64,Population,VCT,Male,1/1/2013,0M,,2042.880574085
25 to 29,Population,MNE,Male,1/1/2013,0M,,23247.473523128
50 to 54,Population,SYR,Female,1/1/2009,0M,312026.439108365,
30 to 34,Population,LAO,Female,1/1/2014,0M,250158.619434088,
45 to 49,Population,VCT,Male,1/1/2009,0M,,3559.865714781
40 to 44,Population,TUR,Male,1/1/2014,3M,,2760688.10412963
75 to 79,Population,GNQ,Female,1/1/2017,0M,3247.486032350,
60 to 64,Population,MNG,Female,1/1/2013,0M,32844.395764922,
65 to 69,Population,TON,Female,1/1/2014,0M,1143.945091789,
Under 5,Population,COM,Male,1/1/2008,0M,,46998.206998003
50 to 54,Population,DEU,Male,1/1/2016,4M,,3505469.75797297
35 to 39,Population,TGO,Female,1/1/2010,0M,193972.588343613,
10 to 14,Population,PAN,Female,1/1/2010,0M,170101.824005825,
35 to 39,Population,NLD,Male,1/1/2014,1M,,505561.203544942
60 to 64,Population,WSM,Female,1/1/2014,0M,2531.544182361,
25 to 29,Population,ISR,Female,1/1/2015,0M,299941.328436695,
30 to 34,Population,NGA,Female,1/1/2015,6M,6322700.79305423,
75 to 79,Population,GRC,Female,1/1/2015,0M,267100.904664017,
65 to 69,Population,JOR,Male,1/1/2012,0M,,59157.495416416
70 to 74,Population,GHA,Female,1/1/2016,0M,160258.996648007,
Under 5,Population,ISL,Male,1/1/2014,0M,,11799.187854426
40 to 44,Population,BMU,Female,1/1/2017,0M,2391.118645854,
75 to 79,Population,PSE,Female,1/1/2010,0M,13176.314074358,
20 to 24,Population,LUX,Male,1/1/2012,0M,,16432.634915971
80 plus,Population,VCT,Male,1/1/2009,0M,,940.012904362
70 to 74,Population,VEN,Female,1/1/2011,0M,224905.927756963,
75 to 79,Population,JPN,Female,1/1/2014,4M,3502919.86854974,
20 to 24,Population,SLV,Female,1/1/2012,0M,290829.513559839,
80 plus,Population,GUM,Female,1/1/2013,0M,1397.259156042,
Under 5,Population,PHL,Male,1/1/2009,6M,,5953409.91014561
45 to 49,Population,GUM,Female,1/1/2013,0M,5309.123824419,
25 to 29,Population,SLB,Male,1/1/2015,0M,,22935.370598023
50 to 54,Population,GTM,Male,1/1/2017,0M,,241860.721164861
15 to 19,Population,AFG,Female,1/1/2017,2M,1944530.4724508,
60 to 64,Population,RUS,Female,1/1/2014,5M,5342260.04215009,
35 to 39,Population,CYP,Male,1/1/2017,0M,,53739.762138363
45 to 49,Population,VEN,Male,1/1/2008,1M,,727446.384835455
75 to 79,Population,PRI,Female,1/1/2008,0M,54516.809207664,
15 to 19,Population,POL,Female,1/1/2016,1M,950544.848195748,
45 to 49,Population,MNG,Female,1/1/2009,0M,82683.629881287,
60 to 64,Population,SGP,Female,1/1/2014,0M,127831.637593335,
45 to 49,Population,IRQ,Male,1/1/2011,1M,,706785.358870356
65 to 69,Population,SDN,Female,1/1/2014,0M,186853.363435814,
5 to 9,Population,ZMB,Female,1/1/2016,1M,1236038.05677223,
70 to 74,Population,GEO,Male,1/1/2017,0M,,205325.301100691
70 to 74,Population,IRQ,Female,1/1/2008,0M,132088.486799404,
30 to 34,Population,VUT,Male,1/1/2014,0M,,9108.029466849
80 plus,Population,BRB,Female,1/1/2014,0M,5960.968027063,
75 to 79,Population,MMR,Male,1/1/2008,0M,,222169.51381589
Under 5,Population,MDA,Female,1/1/2015,0M,98272.077301351,
Under 5,Population,IDN,Male,1/1/2017,11M,,10779454.7331416
65 to 69,Population,DMA,Female,1/1/2017,0M,1183.723103845,
5 to 9,Population,BRB,Female,1/1/2017,0M,8380.737314833,
20 to 24,Population,MNP,Female,1/1/2013,0M,1547.380800986,
Under 5,Population,DMA,Female,1/1/2010,0M,2435.791371641,
40 to 44,Population,MMR,Female,1/1/2011,2M,1717842.72947212,
30 to 34,Population,PRK,Male,1/1/2008,1M,,885217.963426761
5 to 9,Population,ERI,Female,1/1/2017,0M,384918.203264955,
65 to 69,Population,IDN,Male,1/1/2010,2M,,2226638.48871354
Under 5,Population,VIR,Male,1/1/2015,0M,,3447.759589784
65 to 69,Population,ATG,Male,1/1/2012,0M,,1133.965792384
50 to 54,Population,ZWE,Female,1/1/2012,0M,196085.752994085,
Under 5,Population,ALB,Female,1/1/2011,0M,80500.167626250,
5 to 9,Population,SYC,Male,1/1/2009,0M,,3508.785397778
75 to 79,Population,TLS,Female,1/1/2010,0M,4070.537153967,
Under 5,Population,NPL,Female,1/1/2014,2M,1503898.17977644,
25 to 29,Population,CZE,Female,1/1/2012,0M,346674.512185871,
20 to 24,Population,DZA,Male,1/1/2014,2M,,1856335.36495398
60 to 64,Population,AND,Male,1/1/2016,0M,,2267.797921359
45 to 49,Population,ERI,Female,1/1/2014,0M,100690.968324748,
80 plus,Population,VEN,Male,1/1/2008,0M,,129867.765528118
20 to 24,Population,LBR,Female,1/1/2010,0M,198781.464149306,
50 to 54,Population,MAR,Male,1/1/2014,1M,,893246.33227289
50 to 54,Population,BFA,Female,1/1/2015,0M,274345.431967132,
Under 5,Population,SWZ,Male,1/1/2011,0M,,73948.649739128
10 to 14,Population,GAB,Female,1/1/2013,0M,91930.224040345,
35 to 39,Population,SSD,Female,1/1/2015,0M,280006.879109936,
60 to 64,Population,GUM,Female,1/1/2009,0M,2991.702427676,
40 to 44,Population,PRI,Male,1/1/2011,0M,,116165.445194529
50 to 54,Population,BRA,Female,1/1/2010,5M,5397784.53522048,
50 to 54,Population,CAN,Female,1/1/2008,1M,1282173.52568985,
5 to 9,Population,KHM,Male,1/1/2011,1M,,800735.026081561
30 to 34,Population,BDI,Female,1/1/2011,0M,275911.99079352,
60 to 64,Population,KOR,Female,1/1/2016,2M,1576335.20400958,
25 to 29,Population,GNB,Female,1/1/2014,0M,79782.172173624,
75 to 79,Population,QAT,Male,1/1/2017,0M,,2315.798456711
Under 5,Population,SYR,Female,1/1/2009,2M,1563889.26269841,
Under 5,Population,PAK,Male,1/1/2017,14M,,14211859.8148866
5 to 9,Population,KEN,Male,1/1/2009,3M,,2929197.08249839
30 to 34,Population,UGA,Male,1/1/2014,1M,,964967.815655005
65 to 69,Population,SWZ,Female,1/1/2008,0M,8811.139694701,
40 to 44,Population,GNQ,Female,1/1/2010,0M,21409.694079888,
40 to 44,Population,POL,Female,1/1/2014,1M,1284213.69852362,
70 to 74,Population,GNB,Female,1/1/2016,0M,6961.668949693,
35 to 39,Population,SAU,Male,1/1/2017,2M,,2484547.69327412
60 to 64,Population,MWI,Female,1/1/2008,0M,104924.376603503,
30 to 34,Population,SUR,Male,1/1/2015,0M,,21005.098748460
40 to 44,Population,LBN,Male,1/1/2012,0M,,208283.331431223
25 to 29,Population,BEN,Female,1/1/2012,0M,402122.423096178,
15 to 19,Population,GRL,Female,1/1/2017,0M,1883.632294580,
80 plus,Population,BOL,Male,1/1/2009,0M,,38079.063478319
35 to 39,Population,RUS,Female,1/1/2016,6M,5673284.70065761,
50 to 54,Population,ALB,Female,1/1/2011,0M,99475.960917156,
45 to 49,Population,MYS,Male,1/1/2013,1M,,831359.012572179
65 to 69,Population,BRA,Female,1/1/2017,4M,3597163.99467297,
30 to 34,Population,NIC,Male,1/1/2012,0M,,216349.171465164
25 to 29,Population,ZAF,Female,1/1/2008,2M,2300093.57384374,
Under 5,Population,MRT,Male,1/1/2011,0M,,284325.703400591
20 to 24,Population,NER,Female,1/1/2009,1M,643665.803289199,
5 to 9,Population,PNG,Female,1/1/2008,0M,418235.551888092,
45 to 49,Population,CMR,Female,1/1/2015,0M,420569.562620739,
35 to 39,Population,KOR,Female,1/1/2014,2M,1902855.97285165,
20 to 24,Population,AFG,Female,1/1/2010,1M,905969.064627737,
10 to 14,Population,KWT,Female,1/1/2013,0M,104155.070418827,
15 to 19,Population,LBR,Female,1/1/2017,0M,258221.239997773,
20 to 24,Population,ARG,Female,1/1/2015,2M,1774572.18812916,
20 to 24,Population,ASM,Female,1/1/2013,0M,2152.104308700,
65 to 69,Population,LAO,Female,1/1/2016,0M,55149.470393744,
40 to 44,Population,EGY,Male,1/1/2011,2M,,2347503.19305116
35 to 39,Population,ARM,Male,1/1/2017,0M,,108619.671493229
Under 5,Population,BFA,Female,1/1/2015,2M,1752883.03770765,
45 to 49,Population,BOL,Male,1/1/2009,0M,,219437.241273738
55 to 59,Population,TTO,Male,1/1/2011,0M,,37155.819651265
75 to 79,Population,DZA,Male,1/1/2016,0M,,225854.147549314
50 to 54,Population,SOM,Male,1/1/2012,0M,,161831.607052032
Under 5,Population,GTM,Male,1/1/2017,1M,,1010127.61970204
25 to 29,Population,TJK,Male,1/1/2012,0M,,379524.923097657
50 to 54,Population,DMA,Female,1/1/2010,0M,1695.066958924,
15 to 19,Population,KIR,Female,1/1/2017,0M,5512.906815248,
75 to 79,Population,BGR,Female,1/1/2008,0M,177682.231453507,
65 to 69,Population,EST,Male,1/1/2008,0M,,28696.360255797
45 to 49,Population,GEO,Male,1/1/2010,0M,,489919.131842248
75 to 79,Population,HND,Female,1/1/2008,0M,30806.596846203,
30 to 34,Population,GIN,Female,1/1/2008,0M,290784.143319477,
10 to 14,Population,BRB,Female,1/1/2016,0M,9507.254533350,
50 to 54,Population,VIR,Male,1/1/2015,0M,,3669.632128931
35 to 39,Population,YEM,Female,1/1/2016,1M,907205.202832396,
80 plus,Population,KAZ,Male,1/1/2015,0M,,53927.887493060
Under 5,Population,MAR,Male,1/1/2014,2M,,1648873.7583843
60 to 64,Population,DJI,Female,1/1/2008,0M,6282.722993684,
20 to 24,Population,JPN,Female,1/1/2016,3M,3014170.25469406,
55 to 59,Population,MWI,Male,1/1/2011,0M,,118699.646494264
55 to 59,Population,DJI,Male,1/1/2011,0M,,12951.317741096
60 to 64,Population,BEL,Male,1/1/2012,0M,,318795.024421852
15 to 19,Population,TUR,Male,1/1/2016,3M,,3395787.98323561
50 to 54,Population,MDA,Female,1/1/2015,0M,147209.796429541,
65 to 69,Population,ARE,Male,1/1/2015,0M,,20483.685350223
50 to 54,Population,IDN,Male,1/1/2017,7M,,7094744.15284827
65 to 69,Population,GTM,Male,1/1/2010,0M,,107358.594222623
50 to 54,Population,NPL,Female,1/1/2014,1M,554205.559168292,
50 to 54,Population,EST,Female,1/1/2011,0M,49391.797400864,
15 to 19,Population,LVA,Male,1/1/2012,0M,,56768.601293849
70 to 74,Population,GBR,Female,1/1/2008,3M,2543319.44032056,
75 to 79,Population,BIH,Male,1/1/2009,0M,,43587.197017967
50 to 54,Population,SWZ,Male,1/1/2011,0M,,13293.508119359
25 to 29,Population,PAN,Female,1/1/2017,0M,146183.794520531,
40 to 44,Population,QAT,Male,1/1/2010,0M,,151842.839717796
65 to 69,Population,ALB,Male,1/1/2008,0M,,52054.644960458
50 to 54,Population,PHL,Male,1/1/2009,2M,,1921451.22463797
5 to 9,Population,CAF,Male,1/1/2009,0M,,304437.892887525
75 to 79,Population,BMU,Female,1/1/2010,0M,993.910325665,
30 to 34,Population,JAM,Male,1/1/2017,0M,,103808.717722858
10 to 14,Population,ZMB,Female,1/1/2017,1M,1122835.63086482,
40 to 44,Population,BLR,Male,1/1/2009,0M,,327195.211639993
30 to 34,Population,FSM,Male,1/1/2008,0M,,3476.562220503
20 to 24,Population,SRB,Female,1/1/2011,0M,300143.401457996,
20 to 24,Population,COD,Male,1/1/2009,3M,,2973336.50646245
35 to 39,Population,AND,Male,1/1/2014,0M,,3632.591834206
30 to 34,Population,FRA,Male,1/1/2010,2M,,1969869.62159153
45 to 49,Population,MKD,Male,1/1/2011,0M,,77943.641471727
60 to 64,Population,CHE,Male,1/1/2010,0M,,227505.860623781
80 plus,Population,GBR,Male,1/1/2011,2M,,2142597.62565236
30 to 34,Population,SDN,Female,1/1/2016,1M,1440901.43538202,
60 to 64,Population,BOL,Male,1/1/2013,0M,,138920.593927856
55 to 59,Population,MLT,Female,1/1/2015,0M,15567.866571351,
5 to 9,Population,IRL,Female,1/1/2013,0M,166612.089710376,
10 to 14,Population,ECU,Male,1/1/2015,1M,,807707.347686598
25 to 29,Population,GHA,Female,1/1/2014,1M,1285889.12030677,
5 to 9,Population,BHS,Female,1/1/2015,0M,15422.822196163,
80 plus,Population,MKD,Male,1/1/2011,0M,,17138.187015566
60 to 64,Population,TTO,Female,1/1/2008,0M,25938.837479697,
50 to 54,Population,COM,Male,1/1/2008,0M,,8928.901888529
80 plus,Population,GRD,Female,1/1/2015,0M,2264.737958138,
65 to 69,Population,PAK,Male,1/1/2010,1M,,1275799.27316304
Under 5,Population,NAM,Female,1/1/2017,0M,144687.654561059,
70 to 74,Population,SVN,Female,1/1/2015,0M,49972.310859719,
Under 5,Population,ZWE,Female,1/1/2012,1M,1041941.51126147,
60 to 64,Population,NLD,Male,1/1/2016,1M,,525521.167694912
40 to 44,Population,PSE,Female,1/1/2017,0M,117533.10636042,
40 to 44,Population,TLS,Female,1/1/2017,0M,28565.727105776,
5 to 9,Population,MOZ,Male,1/1/2012,2M,,2102741.9455635
5 to 9,Population,FJI,Male,1/1/2008,0M,,41758.252450658
80 plus,Population,GEO,Male,1/1/2010,0M,,113122.242948846
60 to 64,Population,MYS,Male,1/1/2009,0M,,397893.484377372
15 to 19,Population,SRB,Male,1/1/2008,0M,,314118.305753703
60 to 64,Population,USA,Female,1/1/2012,9M,9193560.21407816,
80 plus,Population,MYS,Male,1/1/2013,0M,,114915.30359243
70 to 74,Population,MKD,Female,1/1/2008,0M,38408.254002247,
65 to 69,Population,AZE,Female,1/1/2015,0M,99185.186149329,
55 to 59,Population,GMB,Male,1/1/2015,0M,,19633.538554945
Under 5,Population,BRA,Female,1/1/2010,8M,8033530.68960821,
40 to 44,Population,BGR,Male,1/1/2011,0M,,269781.448178185
15 to 19,Population,SLE,Male,1/1/2015,0M,,400260.208915288
65 to 69,Population,DOM,Female,1/1/2009,0M,100041.020804284,
5 to 9,Population,LUX,Female,1/1/2015,0M,15093.774869034,
70 to 74,Population,TUN,Male,1/1/2015,0M,,113604.371134759
25 to 29,Population,LSO,Female,1/1/2015,0M,90842.747998425,
65 to 69,Population,VUT,Male,1/1/2016,0M,,2125.671566963
45 to 49,Population,KAZ,Male,1/1/2015,0M,,497426.393769731
75 to 79,Population,EGY,Female,1/1/2008,0M,197197.957742791,
35 to 39,Population,WSM,Female,1/1/2016,0M,5094.847954018,
35 to 39,Population,SGP,Female,1/1/2016,0M,243231.662860219,
40 to 44,Population,BTN,Male,1/1/2012,0M,,23674.876428795
5 to 9,Population,BHR,Female,1/1/2012,0M,41576.805566094,
5 to 9,Population,HTI,Female,1/1/2008,1M,580160.950683294,
10 to 14,Population,ZAF,Male,1/1/2011,2M,,2353180.72707641
45 to 49,Population,GRD,Female,1/1/2015,0M,3428.159707964,
10 to 14,Population,ERI,Female,1/1/2016,0M,359035.588775828,
65 to 69,Population,COM,Female,1/1/2011,0M,6172.450587678,
75 to 79,Population,PHL,Male,1/1/2013,0M,,324833.209003868
65 to 69,Population,BLR,Male,1/1/2013,0M,,129516.630014536
40 to 44,Population,HND,Male,1/1/2011,0M,,179782.06967843
30 to 34,Population,TON,Female,1/1/2016,0M,3193.301072862,
5 to 9,Population,SLV,Male,1/1/2015,0M,,280996.447890766
80 plus,Population,CMR,Female,1/1/2015,0M,56223.596710201,
5 to 9,Population,UKR,Male,1/1/2008,1M,,1031074.73635964
Under 5,Population,CAN,Female,1/1/2008,1M,881416.507780464,
35 to 39,Population,KWT,Female,1/1/2009,0M,112126.912556488,
45 to 49,Population,GBR,Male,1/1/2011,5M,,4672130.2182749
Under 5,Population,DEU,Male,1/1/2016,2M,,1851590.57692667
50 to 54,Population,ISL,Male,1/1/2014,0M,,10781.482438350
30 to 34,Population,PRY,Male,1/1/2011,0M,,227350.149385333
40 to 44,Population,DOM,Female,1/1/2013,0M,307328.171408058,
10 to 14,Population,MDV,Female,1/1/2015,0M,14305.264839104,
65 to 69,Population,NAM,Female,1/1/2010,0M,17710.911615462,
50 to 54,Population,BIH,Male,1/1/2013,0M,,138804.145655519
55 to 59,Population,KGZ,Male,1/1/2009,0M,,76256.486930082
40 to 44,Population,TKM,Female,1/1/2016,0M,152353.183790473,
35 to 39,Population,BGR,Male,1/1/2010,0M,,282173.82677347
40 to 44,Population,CYP,Female,1/1/2008,0M,39159.978057600,
25 to 29,Population,ALB,Female,1/1/2010,0M,95677.241161429,
35 to 39,Population,HND,Male,1/1/2010,0M,,208852.818788266
65 to 69,Population,FJI,Female,1/1/2016,0M,11201.839618888,
10 to 14,Population,MDG,Male,1/1/2013,2M,,1506606.82233287
55 to 59,Population,PRT,Female,1/1/2015,0M,375511.367571661,
20 to 24,Population,BLZ,Male,1/1/2014,0M,,17735.575464662
35 to 39,Population,QAT,Male,1/1/2011,0M,,182650.412974094
25 to 29,Population,EST,Female,1/1/2010,0M,46512.345245062,
60 to 64,Population,VNM,Female,1/1/2015,2M,1768346.71607699,
25 to 29,Population,THA,Male,1/1/2014,2M,,2464942.35687217
15 to 19,Population,MEX,Female,1/1/2015,6M,5597492.1484278,
75 to 79,Population,CYP,Male,1/1/2011,0M,,11763.253699060
55 to 59,Population,MNE,Female,1/1/2012,0M,21267.356728487,
70 to 74,Population,RWA,Male,1/1/2016,0M,,37044.053724180
10 to 14,Population,AGO,Male,1/1/2016,2M,,1687549.7050172
30 to 34,Population,VEN,Female,1/1/2017,1M,1239823.07417104,
45 to 49,Population,FRA,Male,1/1/2011,2M,,2190226.2365873
25 to 29,Population,NAM,Male,1/1/2008,0M,,86399.749623329
5 to 9,Population,EST,Female,1/1/2016,0M,37228.243284117,
65 to 69,Population,HTI,Male,1/1/2016,0M,,86139.369033424
55 to 59,Population,CZE,Male,1/1/2013,0M,,348568.898741151
Under 5,Population,KHM,Male,1/1/2016,1M,,915463.851379485
15 to 19,Population,ATG,Female,1/1/2013,0M,3642.458844125,
75 to 79,Population,NZL,Male,1/1/2016,0M,,58143.606663434
80 plus,Population,PRK,Female,1/1/2017,0M,357037.810028336,
55 to 59,Population,ESP,Female,1/1/2016,2M,1562208.40803584,
30 to 34,Population,GBR,Male,1/1/2010,4M,,4065505.39808767
10 to 14,Population,VCT,Female,1/1/2012,0M,5009.402019106,
55 to 59,Population,SRB,Female,1/1/2010,0M,352699.363710244,
35 to 39,Population,GUM,Male,1/1/2012,0M,,5510.403305959
15 to 19,Population,CHN,Male,1/1/2009,57M,,56817405.9351092
25 to 29,Population,UZB,Male,1/1/2014,1M,,1490196.74758261
20 to 24,Population,ZWE,Male,1/1/2013,1M,,599510.174074333
Under 5,Population,ZMB,Female,1/1/2011,1M,1261703.56563437,
70 to 74,Population,FRA,Female,1/1/2008,1M,1373675.95425073,
45 to 49,Population,LKA,Female,1/1/2015,1M,689884.88881689,
Under 5,Population,CUB,Male,1/1/2014,0M,,325390.073097363
20 to 24,Population,CHE,Female,1/1/2008,0M,239692.789230836,
20 to 24,Population,TTO,Male,1/1/2010,0M,,61463.844094183
45 to 49,Population,PRK,Female,1/1/2017,1M,1097331.33725575,
20 to 24,Population,DJI,Male,1/1/2010,0M,,47821.386136293
75 to 79,Population,BHS,Female,1/1/2009,0M,2116.441023383,
25 to 29,Population,BGD,Female,1/1/2014,7M,6975913.83254573,
30 to 34,Population,MKD,Male,1/1/2010,0M,,83518.290783722
25 to 29,Population,DMA,Female,1/1/2011,0M,2473.124919798,
75 to 79,Population,CHL,Female,1/1/2013,0M,181634.348093241,
Under 5,Population,ASM,Male,1/1/2012,0M,,3132.831600801
35 to 39,Population,ROU,Female,1/1/2013,1M,780606.605993591,
65 to 69,Population,ZAF,Male,1/1/2010,0M,,394172.689221919
15 to 19,Population,JOR,Female,1/1/2013,0M,424480.529054346,
80 plus,Population,FRA,Male,1/1/2011,1M,,1165792.80664763
25 to 29,Population,SWZ,Male,1/1/2010,0M,,42984.469249275
Under 5,Population,ZAF,Male,1/1/2017,3M,,2741523.35885978
80 plus,Population,LCA,Male,1/1/2015,0M,,1557.060856624
45 to 49,Population,PRY,Male,1/1/2010,0M,,151336.929239399
70 to 74,Population,GIN,Male,1/1/2010,0M,,53057.366778800
5 to 9,Population,SWZ,Male,1/1/2016,0M,,69665.760601297
50 to 54,Population,BHS,Female,1/1/2013,0M,11407.159565926,
10 to 14,Population,DMA,Male,1/1/2008,0M,,3326.427542880
75 to 79,Population,LUX,Female,1/1/2009,0M,8639.892716996,
35 to 39,Population,AUS,Male,1/1/2016,1M,,785301.300489675
5 to 9,Population,LAO,Male,1/1/2008,0M,,390095.275523125
30 to 34,Population,CHN,Male,1/1/2013,50M,,49808179.3012922
20 to 24,Population,MWI,Male,1/1/2010,1M,,617672.486312236
